Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;;B0:1F:8C:E1:B2:02;;1;No;WPA3,AES-CCM,OWE;No;130.0;0;17;0;0;0;0;0;;;Fri Oct 20 08:50:40 2023;Fri Oct 20 08:52:29 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;VIP-UDP;B0:1F:8C:E1:B2:05;;1;No;OPN,None;No;130.0;0;7;0;0;0;0;0;;;Fri Oct 20 08:50:44 2023;Fri Oct 20 08:52:29 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;;B0:1F:8C:E1:B2:06;;1;No;WPA3,AES-CCM,OWE;No;130.0;0;6;0;0;0;0;0;;;Fri Oct 20 08:50:44 2023;Fri Oct 20 08:52:29 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;;00:94:EC:95:3B:AA;;9;No;WPA2,AES-CCM;No;130.0;0;11;0;0;0;0;0;;;Fri Oct 20 08:50:28 2023;Fri Oct 20 08:52:53 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;HALCAYAGA;C0:56:27:4F:AE:86;;11;No;WPA2,AES-CCM;No;130.0;0;1;0;0;0;0;0;;;Fri Oct 20 08:50:58 2023;Fri Oct 20 08:52:14 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;;B0:1F:8C:E0:E8:82;;6;No;WPA3,AES-CCM,OWE;No;130.0;0;1;0;0;0;0;0;;;Fri Oct 20 08:51:01 2023;Fri Oct 20 08:52:14 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;OF-CCFI;20:AA:4B:31:A2:D4;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 08:50:26 2023;Fri Oct 20 08:52:18 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;HUAWEI-F1FB6D;A8:2B:CD:DE:18:48;;8;No;WPA,AES-CCM,TKIP;No;130.0;0;2;0;3;0;0;3;;;Fri Oct 20 08:50:48 2023;Fri Oct 20 08:52:05 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;VTR-0572963;AC:F8:CC:01:87:5F;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Fri Oct 20 08:51:59 2023;Fri Oct 20 08:52:07 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;;40:0D:10:7B:A7:01;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Oct 20 08:51:05 2023;Fri Oct 20 08:51:19 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;HUAWEI-B2368-2FC06B;E4:AB:89:2F:C0:6B;;13;No;WPA2,AES-CCM,TKIP;No;130.0;0;1;0;0;0;0;0;;;Fri Oct 20 08:50:30 2023;Fri Oct 20 08:51:14 2023;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
12;infrastructure;;B0:1F:8C:E0:E8:84;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:50:43 2023;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
13;infrastructure;movistar_AC71;38:B8:00:F8:AC:71;;11;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Fri Oct 20 08:50:28 2023;Fri Oct 20 08:50:58 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
14;infrastructure;Otakus depa;E4:AB:89:67:33:90;;1;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Oct 20 08:50:40 2023;Fri Oct 20 08:51:49 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
15;infrastructure;VTR-3807550;18:35:D1:92:8F:39;;6;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 08:51:27 2023;Fri Oct 20 08:51:45 2023;-74;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
16;infrastructure;Javiera;44:48:B9:4A:1C:F8;;1;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:51:49 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
17;infrastructure;VTR-0744278;40:0D:10:30:2A:59;;6;No;WPA2,AES-CCM;No;130.0;0;5;0;0;0;0;0;;;Fri Oct 20 08:51:13 2023;Fri Oct 20 08:51:56 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;VTR-9510041;AC:F8:CC:40:0A:D0;;6;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 08:50:32 2023;Fri Oct 20 08:52:10 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;VTR-3531475;40:0D:10:CE:4C:49;;6;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Fri Oct 20 08:50:43 2023;Fri Oct 20 08:52:10 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;MOVISTARF;78:29:ED:AF:C6:D7;;11;No;WPA2,AES-CCM;No;130.0;0;9;0;0;0;0;0;;;Fri Oct 20 08:50:28 2023;Fri Oct 20 08:52:25 2023;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;Himeko;C6:ED:DC:6F:C0:BA;;11;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:25 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;Felipe Vera;E4:AB:89:6C:D1:00;;1;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Oct 20 08:50:22 2023;Fri Oct 20 08:52:33 2023;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;Juan Pablo;E4:AB:89:0C:85:38;;11;No;WPA2,AES-CCM;No;130.0;0;19;0;1;0;0;1;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:52:39 2023;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;VTR-0983291;E4:57:40:C0:5A:9D;;6;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Fri Oct 20 08:51:31 2023;Fri Oct 20 08:52:36 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;VTR-6141955;40:0D:10:CD:FC:19;;1;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Oct 20 08:51:35 2023;Fri Oct 20 08:52:37 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;ClaudioG;E4:57:40:CD:23:9B;;1;No;AES-CCM,TKIP;No;130.0;0;2;0;0;0;0;0;;;Fri Oct 20 08:51:31 2023;Fri Oct 20 08:52:36 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
27;infrastructure;YANEZ TAPIA;E4:AB:89:0A:32:08;;11;No;WPA2,AES-CCM;No;270.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:39 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;VTR-8492879;AC:F8:CC:1D:60:60;;11;No;WPA2,AES-CCM;No;130.0;0;35;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;Invitados-UDP;B0:1F:8C:E1:B2:01;;1;No;OPN,None;No;130.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:55 2023;Fri Oct 20 08:52:36 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;Kata_rep;9C:9D:7E:22:19:9D;;8;No;WPA2,AES-CCM,TKIP;No;130.0;0;5;0;0;0;0;0;;;Fri Oct 20 08:51:10 2023;Fri Oct 20 08:52:41 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;VTR-4173485;48:D3:43:5D:56:D9;;11;No;WPA2,AES-CCM;No;130.0;0;6;0;0;0;0;0;;;Fri Oct 20 08:51:27 2023;Fri Oct 20 08:52:39 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;HUAWEI-B612-3BA6;00:94:EC:95:3B:A6;;9;No;WPA2,AES-CCM;No;130.0;0;23;0;8;0;0;8;;;Fri Oct 20 08:50:24 2023;Fri Oct 20 08:52:53 2023;-77;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;LSA;10:6F:3F:0E:74:A0;;1;No;AES-CCM,TKIP;No;270.0;0;9;0;0;0;0;0;;;Fri Oct 20 08:51:28 2023;Fri Oct 20 08:52:37 2023;-76;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;CAFM;C0:05:C2:E3:09:41;;1;No;WPA2,AES-CCM;No;130.0;0;27;0;0;0;0;0;;;Fri Oct 20 08:50:40 2023;Fri Oct 20 08:52:54 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;VTR-3903677;40:0D:10:0B:2D:99;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 08:51:09 2023;Fri Oct 20 08:52:37 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;JPablo_EXT;14:CC:20:E8:EB:35;;8;No;WPA,AES-CCM,TKIP;No;270.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:41 2023;Fri Oct 20 08:52:38 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;Eli;E6:AB:89:1C:85:38;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;1;0;0;1;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:39 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;Expedientes;7C:DB:98:43:F1:0F;;6;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Fri Oct 20 08:51:31 2023;Fri Oct 20 08:52:32 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;VTR-7335606;48:D3:43:BE:A7:19;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Fri Oct 20 08:50:44 2023;Fri Oct 20 08:52:54 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;VTR-5668386;E4:57:40:C0:DB:5B;;11;No;WPA2,AES-CCM;No;130.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:36 2023;Fri Oct 20 08:52:54 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;Sala Hibrida-UDP;B0:1F:8C:E1:B2:00;;1;No;WPA3,AES-CCM,SAE;No;130.0;0;22;0;0;0;0;0;;;Fri Oct 20 08:50:37 2023;Fri Oct 20 08:52:37 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;VTR-1422237;E4:57:40:AB:75:91;;1;No;WPA2,AES-CCM;No;130.0;0;28;0;0;0;0;0;;;Fri Oct 20 08:50:22 2023;Fri Oct 20 08:52:51 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;movistar2,4GHZ_DAC020;46:48:B9:1E:84:0E;;1;No;WPA2,AES-CCM;No;270.0;0;10;0;0;0;0;0;;;Fri Oct 20 08:50:40 2023;Fri Oct 20 08:52:51 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;CLINICA_VISITAS;EC:08:6B:BC:D2:12;;2;No;WPA2,AES-CCM;No;270.0;0;4;0;0;0;0;0;;;Fri Oct 20 08:50:30 2023;Fri Oct 20 08:52:41 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;Administrativos-UDP;B0:1F:8C:E1:B2:07;;1;No;WPA2,AES-CCM;No;130.0;0;9;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:52:37 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
46;infrastructure;Myhome;E4:AB:89:05:FA:D8;;11;No;WPA2,AES-CCM;No;130.0;0;36;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
47;infrastructure;;B0:1F:8C:E1:B2:04;;1;No;WPA3,AES-CCM,OWE;No;130.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:52:33 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
48;infrastructure;CECI;44:48:B9:41:A2:D8;;1;No;WPA2,AES-CCM;No;130.0;0;0;0;0;0;0;0;;;Fri Oct 20 08:52:44 2023;Fri Oct 20 08:52:44 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
49;infrastructure;HUAWEI-B2368-D781DD;CC:D4:A1:D7:81:DD;;13;No;WPA2,AES-CCM,TKIP;No;130.0;0;64;0;0;0;0;0;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:55 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
50;infrastructure;VTR-2078881;48:D3:43:33:B9:D9;;11;No;WPA2,AES-CCM;No;130.0;0;26;0;0;0;0;0;;;Fri Oct 20 08:50:29 2023;Fri Oct 20 08:52:54 2023;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
51;infrastructure;cableadaTelematica-invitado;58:EF:68:47:59:C8;;6;No;OPN,None;No;130.0;0;67;0;181;0;0;181;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:55 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;192.168.33.101;
52;infrastructure;cableadaTelematica;58:EF:68:47:59:C6;;6;No;WPA,AES-CCM,TKIP;No;130.0;0;78;0;7;0;0;7;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:50 2023;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
53;infrastructure;JPablo;CC:ED:DC:1C:0E:71;;8;No;WPA2,AES-CCM,TKIP;No;130.0;0;46;0;1;0;0;1;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:52 2023;-68;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
54;infrastructure;;8A:D8:1B:C6:83:E9;;2;No;WPA2,AES-CCM;No;195.0;0;54;0;0;0;0;0;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:52 2023;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
55;infrastructure;FAMILIAGL_EXT;84:D8:1B:C6:83:E9;;2;No;AES-CCM,TKIP;No;195.0;0;40;0;6;0;0;6;;;Fri Oct 20 08:50:30 2023;Fri Oct 20 08:52:52 2023;-71;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
56;infrastructure;Alumnos-UDP;B0:1F:8C:E1:B2:03;;1;No;OPN,None;No;130.0;0;23;0;0;0;0;0;;;Fri Oct 20 08:50:40 2023;Fri Oct 20 08:52:33 2023;-65;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
57;infrastructure;ZTE_B5EA07;B4:1C:30:B5:EA:07;;10;No;WPA2,AES-CCM;No;130.0;0;14;0;0;0;0;0;;;Fri Oct 20 08:50:39 2023;Fri Oct 20 08:52:53 2023;-63;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
58;infrastructure;Invitados-UDP;B0:1F:8C:E2:14:A1;;11;No;OPN,None;No;130.0;0;92;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-62;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
59;infrastructure;;B0:1F:8C:E2:14:A6;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;94;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
60;infrastructure;Administrativos-UDP;B0:1F:8C:E2:14:A7;;11;No;WPA2,AES-CCM;No;130.0;0;94;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
61;infrastructure;;B0:1F:8C:E2:14:A4;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;108;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-61;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
62;infrastructure;Sala Hibrida-UDP;B0:1F:8C:E2:14:A0;;11;No;WPA3,AES-CCM,SAE;No;130.0;0;88;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
63;infrastructure;Alumnos-UDP;B0:1F:8C:E2:14:A3;;11;No;OPN,None;No;130.0;0;90;0;19;0;0;19;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.31.0.61;
64;infrastructure;;B0:1F:8C:E2:14:A2;;11;No;WPA3,AES-CCM,OWE;No;130.0;0;92;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
65;infrastructure;VIP-UDP;B0:1F:8C:E2:14:A5;;11;No;OPN,None;No;130.0;0;94;0;0;0;0;0;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:54 2023;-60;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
66;infrastructure;Telematica;98:FC:11:86:B6:B9;;6;No;WPA,AES-CCM,TKIP;No;130.0;0;118;0;1434;0;0;1434;;;Fri Oct 20 08:50:22 2023;Fri Oct 20 08:52:55 2023;-50;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
67;infrastructure;WEP;B0:48:7A:D2:DD:74;;3;No;WEP;No;54.0;0;248;0;5151;0;0;5151;;;Fri Oct 20 08:50:23 2023;Fri Oct 20 08:52:55 2023;-45;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
